# file	kind	table	name — generated by scripts/check-migrations.mjs
260911-widget-designs.sql	table	widget_designs	-
260911-widget-designs.sql	column	tenants	active_widget_design_id
260913-tenant-default-language.sql	column	tenants	default_language
260916-notifications-deleted-at.sql	column	notifications	deleted_at
260920-orders-cache-money-breakdown.sql	column	orders_cache	subtotal
260920-orders-cache-money-breakdown.sql	column	orders_cache	discount_total
260920-orders-cache-money-breakdown.sql	column	orders_cache	shipping_total
260920-orders-cache-money-breakdown.sql	column	orders_cache	item_qty
260920-sessions-access-stats.sql	column	sessions	landing_path
260920-sessions-access-stats.sql	column	sessions	open_count
260920-sessions-access-stats.sql	column	sessions	first_opened_at
260920-sessions-access-stats.sql	index	sessions	idx_sessions_tenant_path
migration_agent_coaching.sql	table	agent_coaching_threads	-
migration_agent_coaching.sql	table	agent_coaching_messages	-
migration_agent_coaching.sql	table	agent_coaching_proposals	-
migration_ai_config_revisions.sql	table	tenant_ai_config_revisions	-
migration_ai_usage_daily.sql	table	ai_usage_daily	-
migration_answer_reuse_agent.sql	column	answer_reuse	ai_agent_id
migration_audit_context.sql	column	audit_logs	ip
migration_audit_context.sql	column	audit_logs	request_id
migration_audit_context.sql	column	audit_logs	result
migration_audit_context.sql	column	audit_logs	metadata
migration_board_comments.sql	table	board_comments	-
migration_channel_threads_notice_version.sql	column	channel_threads	notice_version
migration_chat_comments.sql	table	chat_comments	-
migration_chat_groups.sql	table	chat_groups	-
migration_chat_groups.sql	table	chat_group_members	-
migration_conv_idle_csat.sql	column	conversations	idle_prompt_at
migration_conv_idle_csat.sql	index	conversations	idx_conv_idle
migration_conv_list_index.sql	index	conversations	idx_conv_tenant_status_id
migration_conv_reply_channel.sql	column	conversations	reply_channel
migration_conversation_briefings.sql	table	conversation_briefings	-
migration_conversations_ended_at_index.sql	data	-	-
migration_customer_shopify_unique.sql	index	customers	uq_customers_tenant_shopify
migration_diary.sql	table	diary_notes	-
migration_embed_sdk.sql	column	tenants	embed_origins
migration_embed_sdk.sql	column	tenants	embed_secret
migration_embed_sdk.sql	column	customers	external_customer_id
migration_embed_sdk.sql	index	customers	uq_customers_tenant_external
migration_engagement.sql	table	product_saves	-
migration_engagement.sql	table	nudges	-
migration_erased_identities.sql	table	erased_identities	-
migration_gdrive_credential.sql	data	-	-
migration_golden_regression.sql	table	golden_questions	-
migration_golden_regression.sql	table	golden_runs	-
migration_golden_regression.sql	table	golden_run_items	-
migration_handoff_routing.sql	column	tenant_ai_config	handoff_config
migration_handoff_routing.sql	column	agent_alerts	target_user_id
migration_integration_credentials_status.sql	column	integration_credentials	last_tested_at
migration_integration_credentials_status.sql	column	integration_credentials	detail
migration_journey_reports.sql	table	journey_reports	-
migration_journey_reports.sql	table	journey_report_criteria	-
migration_kb_answer_proposals.sql	table	kb_answer_proposals	-
migration_kb_category_agent_scope.sql	column	kb_categories	agent_ids
migration_kb_category_group.sql	column	kb_categories	doc_group
migration_kb_category_group.sql	index	kb_categories	uk_kb_category
migration_kb_conflict_failures.sql	column	kb_conflicts	failure_reason
migration_kb_doc_group.sql	column	kb_documents	doc_group
migration_kb_doc_group.sql	index	kb_documents	idx_kb_group
migration_kb_doc_group.sql	index	kb_documents	uk_kb_extkey
migration_kb_document_revisions.sql	table	kb_document_revisions	-
migration_kb_embedding.sql	column	kb_documents	embedding_model
migration_kb_embedding.sql	column	kb_documents	embedded_at
migration_kb_provenance.sql	table	kb_conflicts	-
migration_kb_provenance.sql	column	kb_documents	created_at
migration_kb_provenance.sql	column	kb_documents	source_url
migration_kb_provenance.sql	column	kb_documents	owner_user_id
migration_kb_provenance.sql	column	kb_documents	effective_from
migration_kb_provenance.sql	column	kb_documents	review_interval_days
migration_kb_provenance.sql	column	kb_documents	reviewed_at
migration_kb_provenance.sql	column	kb_documents	reviewed_by
migration_kb_provenance.sql	column	kb_documents	superseded_by
migration_knowledge_taxonomy.sql	table	usage_types	-
migration_knowledge_taxonomy.sql	table	kb_categories	-
migration_menu_access.sql	table	tenant_menus	-
migration_menu_access.sql	table	tenant_role_menus	-
migration_menu_access.sql	table	tenant_user_menus	-
migration_message_attachments.sql	table	message_attachments	-
migration_messenger_channels.sql	table	messenger_channels	-
migration_messenger_channels.sql	table	channel_threads	-
migration_messenger_channels.sql	table	channel_message_map	-
migration_messenger_channels.sql	table	channel_outbox	-
migration_mfa.sql	table	mfa_credentials	-
migration_mfa.sql	table	mfa_recovery_codes	-
migration_notification_channels.sql	column	tenants	notification_channels
migration_notification_link.sql	column	notifications	link_url
migration_notification_ref.sql	column	notifications	ref_type
migration_notification_ref.sql	column	notifications	ref_id
migration_preview_channel.sql	column	sessions	channel
migration_products_cache.sql	table	products_cache	-
migration_products_sku.sql	column	products_cache	sku
migration_products_sku.sql	index	products_cache	idx_prdc_sku
migration_push_notifications.sql	table	device_tokens	-
migration_push_webpush.sql	column	device_tokens	token_hash
migration_push_webpush.sql	index	device_tokens	uk_device_token_hash
migration_question_stats.sql	table	question_stats_daily	-
migration_question_stats.sql	table	question_clusters	-
migration_question_stats.sql	column	messages	intent
migration_question_stats.sql	column	messages	intent_confidence
migration_question_stats.sql	index	messages	idx_msg_intent
migration_reply_approval.sql	table	reply_drafts	-
migration_reply_approval.sql	column	messenger_channels	reply_mode
migration_scenario_overrides.sql	column	tenant_ai_config	scenario_overrides
migration_session_alias.sql	column	sessions	alias
migration_session_auto_reply.sql	column	sessions	auto_reply_mode
migration_session_language_locked.sql	column	sessions	language_locked
migration_smart_knowledge_board.sql	table	boards	-
migration_smart_knowledge_board.sql	table	board_documents	-
migration_smart_knowledge_board.sql	table	board_document_revisions	-
migration_smart_knowledge_board.sql	table	board_attachments	-
migration_source_sync_state.sql	column	knowledge_sources	last_sync_at
migration_source_sync_state.sql	column	knowledge_sources	last_sync_status
migration_tenant_privacy_notice.sql	column	tenants	privacy_policy_url
migration_tenant_privacy_notice.sql	column	tenants	consent_notice_version
migration_tenant_slug.sql	column	tenants	slug
migration_tenant_slug.sql	index	tenants	uk_tenant_slug
migration_tenant_storefront_url.sql	column	tenants	storefront_url
migration_tenant_uuid.sql	column	tenants	uuid
migration_tenant_uuid.sql	index	tenants	uk_tenant_uuid
migration_widget_login_mode.sql	column	tenants	widget_login_mode
migration_widget_tab_config.sql	column	tenants	widget_tabs
migration_widget_tab_config.sql	column	tenants	widget_tab_position
migration_widget_theme.sql	column	tenants	widget_theme
